time, px, py, pz, qx, qy, qz, qw
1.81973, 0.474332, -0.558183, 1.64718, 0.000377996, -0.0346313, 0.688165, 0.724727
1.83959, 0.474473, -0.55778, 1.64693, 0.00203479, -0.0342545, 0.688154, 0.724753
1.86045, 0.474701, -0.557553, 1.64652, 0.00159566, -0.0343012, 0.688009, 0.72489
1.87988, 0.474676, -0.557158, 1.64603, 0.00271293, -0.0341643, 0.687988, 0.724912
1.9002, 0.474998, -0.556913, 1.64563, 0.00205376, -0.034544, 0.687966, 0.724917
1.91944, 0.475296, -0.556705, 1.64526, 0.000973225, -0.0347966, 0.687939, 0.724933
1.93982, 0.475579, -0.556219, 1.64494, 0.00137357, -0.0361353, 0.687709, 0.725086
1.96014, 0.475828, -0.555882, 1.64445, 0.00114702, -0.0361871, 0.687755, 0.725039
1.98037, 0.476101, -0.555507, 1.64404, 0.001908, -0.0360262, 0.687798, 0.725006
2.00029, 0.4763, -0.555109, 1.64359, 0.00298129, -0.0358529, 0.687992, 0.724826
2.01968, 0.476566, -0.554725, 1.643, 0.00246316, -0.0358923, 0.688166, 0.724661
2.04022, 0.47686, -0.554506, 1.64213, 0.00135893, -0.0348392, 0.687955, 0.724915
2.05988, 0.477059, -0.554068, 1.64147, 0.00210959, -0.0342801, 0.688039, 0.724861
2.07974, 0.477608, -0.553723, 1.64092, 0.00137419, -0.0352419, 0.68808, 0.724777
2.10015, 0.477781, -0.553269, 1.64009, 0.00313811, -0.0346544, 0.688164, 0.724721
2.1197, 0.478127, -0.552822, 1.63924, 0.00354248, -0.0350387, 0.688066, 0.724793
2.13947, 0.478623, -0.552549, 1.63852, 0.00321068, -0.0348494, 0.68804, 0.724829
2.16, 0.479029, -0.552198, 1.63761, 0.00343113, -0.0341563, 0.688091, 0.724812
2.18031, 0.479458, -0.551769, 1.63662, 0.00289312, -0.0344353, 0.688011, 0.724877
2.19998, 0.479984, -0.551432, 1.63565, 0.00252024, -0.035204, 0.687971, 0.724879
2.21943, 0.480636, -0.550992, 1.63487, 0.00295403, -0.0365712, 0.687852, 0.724923
2.24037, 0.481086, -0.550651, 1.63373, 0.0029391, -0.0366087, 0.687877, 0.724897
2.26039, 0.481625, -0.550351, 1.6325, 0.00270556, -0.0372631, 0.687904, 0.72484
2.28047, 0.482214, -0.550012, 1.63147, 0.00318262, -0.0375386, 0.688015, 0.724718
2.30023, 0.482808, -0.549659, 1.63032, 0.0025077, -0.0379989, 0.68823, 0.724492
2.31975, 0.483448, -0.549349, 1.62896, 0.00219221, -0.0384167, 0.688055, 0.724638
2.34022, 0.483942, -0.548999, 1.62741, 0.00263671, -0.0378318, 0.688131, 0.724595
2.3601, 0.484589, -0.548672, 1.62601, 0.00224648, -0.0379925, 0.688278, 0.724448
2.3801, 0.485205, -0.5485, 1.62443, 0.00252241, -0.037046, 0.688263, 0.72451
2.40035, 0.485831, -0.548185, 1.6229, 0.00260381, -0.0373763, 0.688139, 0.724611
2.41964, 0.486517, -0.547941, 1.62123, 0.00176263, -0.0374707, 0.688033, 0.724709
2.43915, 0.487014, -0.547694, 1.61946, 0.00320541, -0.0360027, 0.687914, 0.724892
2.45925, 0.48785, -0.547346, 1.6181, 0.00311364, -0.0374655, 0.687896, 0.724835
2.48043, 0.488445, -0.547173, 1.61628, 0.00371272, -0.0368851, 0.68781, 0.724944
2.50023, 0.489058, -0.546876, 1.6145, 0.00383942, -0.0374156, 0.687797, 0.724928
2.51944, 0.489932, -0.546711, 1.61297, 0.00283767, -0.0385349, 0.687506, 0.72515
2.54034, 0.490518, -0.546762, 1.61088, 0.00252167, -0.0373923, 0.68755, 0.725169
2.55975, 0.491229, -0.546373, 1.60912, 0.00267609, -0.0386232, 0.687739, 0.724925
2.58031, 0.49196, -0.546215, 1.60725, 0.0029422, -0.0380486, 0.68777, 0.724925
2.60042, 0.492695, -0.546065, 1.60543, 0.00239128, -0.0388453, 0.687935, 0.724728
2.61965, 0.49336, -0.545897, 1.60339, 0.00199293, -0.0382642, 0.687855, 0.724836
2.64017, 0.494024, -0.545812, 1.60119, 0.00164614, -0.0369653, 0.687625, 0.725123
2.66045, 0.494759, -0.54576, 1.59906, 0.000372021, -0.0372862, 0.687455, 0.725269
2.67963, 0.495204, -0.545645, 1.59685, 0.00173635, -0.0358666, 0.687534, 0.725263
2.69945, 0.495926, -0.545526, 1.59477, 0.00105586, -0.0363488, 0.687461, 0.72531
2.7195, 0.496511, -0.545385, 1.59263, 0.0012493, -0.0367393, 0.687319, 0.725425
2.73988, 0.497144, -0.545089, 1.59069, 0.0014102, -0.0378047, 0.687027, 0.725646
2.76046, 0.49759, -0.545131, 1.58856, 0.00151798, -0.0364701, 0.686968, 0.72577
2.78037, 0.498182, -0.544912, 1.58652, 0.00263323, -0.0369528, 0.686933, 0.725776
2.80045, 0.498673, -0.544845, 1.58439, 0.00194286, -0.0370887, 0.687126, 0.725588
2.81935, 0.499195, -0.5447, 1.58241, 0.00128489, -0.0374404, 0.686995, 0.725695
2.8392, 0.499794, -0.544595, 1.58028, 0.0010272, -0.0371143, 0.68682, 0.725878
2.85976, 0.500366, -0.544376, 1.57824, 0.000534965, -0.0378423, 0.686853, 0.72581
2.88029, 0.500647, -0.544273, 1.57612, 0.00150987, -0.0369717, 0.687011, 0.725705
2.90034, 0.501082, -0.543975, 1.57431, 0.00310762, -0.036765, 0.686962, 0.725756
2.91952, 0.501673, -0.54393, 1.57235, 0.00186569, -0.0369021, 0.686829, 0.725879
2.93988, 0.502157, -0.5437, 1.57053, 0.00272092, -0.0363959, 0.686754, 0.725973
2.95975, 0.502735, -0.543679, 1.56862, 0.0014629, -0.0362019, 0.686754, 0.725986
2.98036, 0.503234, -0.543546, 1.56696, 0.00224868, -0.0362718, 0.686599, 0.726127
2.99972, 0.503657, -0.543487, 1.56521, 0.00260441, -0.0357043, 0.686632, 0.726123
3.01934, 0.504295, -0.5433, 1.56367, 0.00146721, -0.0369431, 0.686522, 0.726169
3.03992, 0.504672, -0.54314, 1.56198, 0.00203155, -0.0361787, 0.686201, 0.726509
3.06036, 0.505328, -0.542908, 1.56063, 0.00109776, -0.0378469, 0.686369, 0.726267
3.08044, 0.505953, -0.542814, 1.55919, 0.00149863, -0.0375634, 0.686419, 0.726234
3.09981, 0.506228, -0.542523, 1.5577, 0.00274716, -0.0371015, 0.686562, 0.726118
3.11941, 0.506704, -0.542473, 1.55624, 0.00164164, -0.037122, 0.68653, 0.726151
3.14019, 0.50719, -0.542308, 1.55514, 0.00312697, -0.0357564, 0.686346, 0.726389
3.16038, 0.507792, -0.542145, 1.55386, 0.00231213, -0.0358592, 0.686036, 0.726679
3.18024, 0.508334, -0.541974, 1.55264, 0.00148671, -0.0370347, 0.685729, 0.726913
3.20037, 0.508842, -0.541921, 1.55158, 0.00197968, -0.0366853, 0.685607, 0.727044
3.21956, 0.509573, -0.541718, 1.55067, 0.00147829, -0.0379475, 0.685458, 0.727122
3.23936, 0.50978, -0.54163, 1.54946, 0.00264381, -0.0364105, 0.68544, 0.727213
3.25995, 0.510331, -0.541378, 1.54866, 0.00210329, -0.0376181, 0.685541, 0.727058
3.28005, 0.510905, -0.541248, 1.54777, 0.0026911, -0.0373879, 0.685567, 0.727044
3.29968, 0.511489, -0.541081, 1.5469, 0.00312154, -0.0372241, 0.685558, 0.727059
3.31965, 0.511884, -0.540965, 1.54581, 0.00220811, -0.0371718, 0.685626, 0.727001
3.34038, 0.512419, -0.540814, 1.54489, 0.00216924, -0.0365438, 0.685474, 0.727177
3.35966, 0.512881, -0.540701, 1.54398, 0.00268228, -0.0356613, 0.685268, 0.727412
3.37969, 0.513458, -0.540548, 1.54326, 0.00194793, -0.0368444, 0.685054, 0.727558
3.4004, 0.51392, -0.540548, 1.54228, 0.00213502, -0.036477, 0.684865, 0.727753
3.41967, 0.514417, -0.54029, 1.54167, 0.00242585, -0.0374561, 0.684908, 0.727662
3.43993, 0.514921, -0.540256, 1.54104, 0.00277073, -0.0374925, 0.684828, 0.727735
3.46037, 0.515526, -0.540241, 1.54042, 0.00240086, -0.0375518, 0.684785, 0.727773
3.48049, 0.515958, -0.540125, 1.53974, 0.00181794, -0.0380945, 0.68473, 0.727798
