time, px, py, pz, qx, qy, qz, qw
1.76071, 0.563689, -0.638147, 1.64817, -0.000374964, -0.0344615, 0.708201, 0.705169
1.78064, 0.563608, -0.638157, 1.64834, -0.00138876, -0.0352704, 0.708197, 0.705132
1.80022, 0.56321, -0.638148, 1.64839, -0.000601872, -0.0345987, 0.708377, 0.704986
1.82036, 0.562999, -0.638087, 1.64859, -0.000689915, -0.0352641, 0.708451, 0.704878
1.84001, 0.562811, -0.63814, 1.64871, -0.00107014, -0.0350907, 0.708488, 0.704849
1.86067, 0.562449, -0.637995, 1.64877, -0.000761676, -0.0347894, 0.708368, 0.704985
1.88064, 0.562183, -0.637967, 1.64876, -0.00125543, -0.0349408, 0.708124, 0.705222
1.90022, 0.561983, -0.637901, 1.64877, -0.00140492, -0.0349748, 0.708165, 0.705179
1.92039, 0.56181, -0.637959, 1.64859, -0.0014787, -0.034499, 0.708204, 0.705163
1.94079, 0.561528, -0.637828, 1.64862, -0.00114585, -0.0344843, 0.708259, 0.705109
1.96065, 0.561205, -0.637787, 1.6484, -0.00157759, -0.0341087, 0.708363, 0.705022
1.98013, 0.560888, -0.637626, 1.64818, -0.000655309, -0.0334999, 0.708177, 0.70524
1.9999, 0.560763, -0.637393, 1.6481, -0.000894639, -0.0347491, 0.708066, 0.705291
2.01991, 0.560588, -0.637322, 1.64784, -0.00128289, -0.0348463, 0.708172, 0.705178
2.04054, 0.560387, -0.637084, 1.64762, -0.000928959, -0.0350835, 0.708248, 0.705091
2.06072, 0.560278, -0.636987, 1.64743, -0.00154402, -0.035329, 0.708479, 0.704846
2.08006, 0.559928, -0.636737, 1.6472, -0.00099307, -0.0347229, 0.708513, 0.704842
2.10022, 0.559568, -0.636601, 1.64675, -0.000533083, -0.0340551, 0.708238, 0.705152
2.1206, 0.559377, -0.636316, 1.64651, -0.000705851, -0.0347245, 0.708127, 0.70523
2.14072, 0.55938, -0.636267, 1.64606, -0.00186681, -0.0348919, 0.708221, 0.705125
2.16062, 0.559122, -0.635889, 1.64589, -0.000997337, -0.0354451, 0.708403, 0.704917
2.18007, 0.558883, -0.635618, 1.64556, -0.00122096, -0.0359829, 0.708627, 0.704664
2.2002, 0.558481, -0.635398, 1.64517, 0.000165909, -0.034637, 0.708975, 0.704382
2.22052, 0.558234, -0.635166, 1.64481, 0.00133955, -0.034076, 0.708994, 0.704389
2.24067, 0.558083, -0.634951, 1.64442, 0.00121029, -0.0347813, 0.708985, 0.704365
2.26035, 0.558064, -0.634611, 1.64402, 0.000576115, -0.0357213, 0.709043, 0.704259
2.28069, 0.558043, -0.63445, 1.64359, 0.000326652, -0.0354901, 0.708908, 0.704408
2.30024, 0.557875, -0.634199, 1.64322, 0.000828493, -0.0352727, 0.708948, 0.704378
2.32006, 0.557645, -0.634144, 1.64251, 0.000775834, -0.0340805, 0.709087, 0.704296
2.34041, 0.557458, -0.633762, 1.64219, 0.00221849, -0.0340584, 0.709189, 0.704192
2.36066, 0.557553, -0.633608, 1.64175, 0.00192124, -0.0347635, 0.709189, 0.704158
2.38035, 0.55764, -0.633341, 1.6413, 0.00106468, -0.0358308, 0.709319, 0.703975
2.40023, 0.557653, -0.633216, 1.64074, 0.000145779, -0.0356512, 0.709136, 0.70417
2.42058, 0.557554, -0.632973, 1.64024, 0.00087986, -0.0351176, 0.709116, 0.704216
